speed m/sec;Thrust single pod (N)
0;0
0,1;39,342
0,2;40,068
0,3;41,178
0,4;42,672
0,5;44,55
0,6;46,812
0,7;49,458
0,8;52,488
0,9;55,902
1;59,7
1,1;63,882
1,2;68,448
1,3;73,398
1,4;78,732
1,5;84,45
1,6;90,552
1,7;97,038
1,8;103,908
1,9;111,162
2;118,8
2,1;126,822
2,2;135,228
2,3;144,018
2,4;153,192
2,5;162,75
2,6;172,692
2,7;183,018
2,8;193,728
2,9;204,822
3;216,3
3,1;228,162
3,2;240,408
3,3;253,038
3,4;266,052
3,5;279,45
3,6;293,232
3,7;307,398
3,8;321,948
3,9;336,882
4;352,2
4,1;367,902
4,2;383,988
4,3;400,458
4,4;417,312
4,5;434,55
4,6;452,172
4,7;470,178
4,8;488,568
4,9;507,342
5;526,5
